,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,sugars,calcium,magnesium,potassium,sodium,ingredients,dietary fiber,fat,saturated fat,cholesterol,iron
17,Grandpa Hubbard's Oatmeal,21019,My grandfather used to make this oatmeal for me on Saturday mornings accompanied by buttered wheat toast. I miss those Saturdays. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F58202.jpg,4,347.4,94,4.6,52.7,25.5,0.0605,0.0593,0.30939999999999995,0.09,3 ¾ cups water #2 cups rolled oats #1 pinch salt #4 teaspoons butter #¼ cup brown sugar #1 cup non-dairy creamer #4 tablespoons milk #¼ cup brown sugar ,4.1,13.0,4.4,0.012,0.0019
18,Stromboli Bites,21020,"This appetizer has a lot of ingredients, but it's easy to make and is a meat lover's dream come true! Italian meats and spices are baked together inside a loaf of bread, then cut into bit-sized pieces. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5215645.jpg,10,344.4,17,4.5,16.0,1.1,0.1688,0.0175,0.21869999999999998,1.1325999999999998,½ pound Italian sausage #1 (1 pound) loaf frozen bread dough #1 tablespoon yellow mustard #1 tablespoon prepared Dijon-style mustard #5 slices cooked ham #6 slices pepperoni sausage #6 slices salami #4 slices provolone cheese #4 slices processed American cheese #1 teaspoon dried oregano #1 teaspoon dried basil #⅓ cup cornmeal ,1.7,23.0,9.7,0.0619,0.0018
19,Zucchini Parmesan,21021,Delicious and easy way to use zucchini! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F716858.jpg,5,217,211,4.5,21.0,12.2,0.2215,0.0557,0.681,0.5123,"2 large zucchini, thinly sliced #2 tablespoons olive oil #1 large onion, diced #2 cloves garlic, minced #1 (16 ounce) jar spaghetti sauce #1 cup shredded mozzarella cheese ",4.7,11.5,3.7,0.016300000000000002,0.0013
20,Wedding Soup,21022,This is my mother's recipe handed down. We sometimes take 4 beaten eggs and drizzle them into the soup near the end of the cooking time. We used to call this 'rag soup' because the eggs formed what looked like torn rags. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1340552.jpg,24,296.5,10,3.8,23.5,3.5,0.11170000000000001,0.0337,0.3574,0.31060000000000004,"1 (4 pound) whole chicken #1 large onion #6 stalks celery with leaves, chopped #9 carrots, sliced #1 sweet potato, cubed #½ medium head cabbage, coarsely chopped #2 (14.5 ounce) cans chicken broth #2 (6 ounce) cans roasted garlic tomato paste #1 ½ pounds lean ground beef #2 eggs #½ cup dry bread crumbs #½ cup grated Romano cheese #1 (16 ounce) package acini di pepe pasta #1 cup grated Parmesan cheese for topping ",2.4,12.4,4.3,0.0705,0.0024
21,Potato Enchilada,21023,"This dish is a favorite of my family's. It sounds awful and even looks that way, but it is very tasty as well as having a bit of your veggies. My kids don't know that it's better for them than a cheeseburger! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6205078.jpg,12,357.7,13,3.9,53.0,2.9,0.14909999999999998,0.0512,0.6444,0.7283999999999999,"3 tablespoons vegetable oil #6 potatoes, peeled and shredded #1 (8 ounce) package processed cheese, melted #2 (10 ounce) cans diced tomatoes with green chile peppers, drained #1 (8 ounce) can sweet peas, drained #1 (8.75 ounce) can whole kernel corn, drained #12 (8 inch) flour tortillas ",4.9,11.9,4.2,0.0149,0.0028
22,Potato Casserole II,21025,Easy and very kid-pleasing. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F197019.jpg,7,650.3,146,4.6,40.7,1.3,0.3355,0.0345,1.1031,0.7676000000000001,"½ cup chopped onion #1 pint sour cream #1 (10.75 ounce) can condensed cream of chicken soup #2 cups shredded Cheddar cheese # salt and pepper to taste #1 (2 pound) package frozen hash brown potatoes, thawed #2 cups crushed potato chips #½ cup melted butter ",3.0,56.1,29.9,0.1012,0.0021000000000000003
23,Snow Cone Topping,21026,Fruit flavored snow cone toppings. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1944189.jpg,6,70,7,4.2,17.8,17.8,0.030600000000000002,0.0,0.0004,0.0017,1 (4 ounce) packet sweetened tropical punch flavored drink mix powder #¾ cup water ,0.0,0.0,0.0,0.0,0.0
24,Creamy Tater Tot Casserole,21027,"Quick, easy and delicious! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7996875.jpg,8,707.4,179,4.5,44.9,3.6,0.2994,0.0201,0.5043,1.2672999999999999,"2 pounds tater tots, thawed #1 (10.5 ounce) can condensed cream of chicken soup #1 cup finely chopped onion #1 (16 ounce) container sour cream #1 (8 ounce) package sharp Cheddar cheese, shredded #1 dash garlic powder #½ teaspoon seasoning salt #½ cup butter, softened #3 cups cornflakes cereal #½ cup butter, melted #2 tablespoons grated Parmesan cheese # paprika to taste ",3.6,56.3,30.4,0.1191,0.0036
25,Cheese Puff,21029,Good served with ham. ,0,5,471.4,2,3.5,27.4,8.2,0.5544,0.0434,0.3415,1.0194,"8 slices white bread #3 tablespoons butter, softened #1 (8 ounce) package sharp Cheddar cheese, shredded #4 eggs #2 ½ cups milk #2 tablespoons prepared mustard #1 teaspoon Worcestershire sauce #½ teaspoon salt #⅛ teaspoon paprika ",1.2,29.7,16.9,0.22390000000000002,0.0027
26,Green Chile Puff,21030,"Almost like a souffle--light, tasty and wonderful for brunches. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F970255.jpg,6,326.7,7,3.9,13.4,2.2,0.1931,0.023100000000000002,0.25939999999999996,0.9504,"½ cup all-purpose flour #1 teaspoon baking powder #2 teaspoons garlic powder #8 eggs #2 cups small curd cottage cheese #¼ cup shredded Monterey Jack cheese #¼ cup shredded Cheddar cheese #2 green onions, chopped #1 (7 ounce) can diced green chilies, drained #¼ cup butter ",0.9,20.8,11.0,0.2887,0.0022
27,Korean BBQ Chicken Marinade,21033,"This sauce is from the very popular 'chicken bowls' in my hometown. It's very tasty! Use it as a marinade for chicken, or to baste chicken while grilling. Increase the hot chile paste as desired. Four tablespoons is usually as much as anyone can take! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F108063.jpg,48,20.3,404,4.5,4.9,4.4,0.0013,0.0024,0.013,0.3043,1 cup white sugar #1 cup soy sauce #1 cup water #1 teaspoon onion powder #1 teaspoon ground ginger #1 tablespoon lemon juice #4 teaspoons hot chile paste ,0.1,0.1,0.0,0.0,0.0001
28,Marinade for Steak II,21034,"Simple ingredients like molasses, ketchup and ginger come together to create a delicious marinade for steak. It's also great on pork and chicken. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F3739d8d9282329bd132ca6e0a8e29aad%2F288749.jpg,6,109.3,15,3.9,27.8,20.1,0.067,0.0747,0.5184,0.2384,"½ cup molasses #½ cup ketchup #1 tablespoon ground ginger #1 teaspoon chopped fresh thyme #1 tablespoon ground black pepper #1 tablespoon distilled white vinegar #1 dash hot pepper sauce, or to taste #1 tablespoon garlic powder ",0.6,0.2,0.0,0.0,0.0019
29,Zucchini Casserole II,21035,This is a tasty way to use up some of your bumper crop of zucchini. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F705455.jpg,8,302,151,4.6,25.8,5.4,0.07959999999999999,0.036899999999999995,0.4139,0.6884,"6 cups diced zucchini #1 (10.75 ounce) can condensed cream of mushroom soup #1 cup sour cream #½ cup chopped onion #1 cup shredded carrots #1 (6 ounce) package dry bread stuffing mix #½ cup butter, melted ",2.6,20.6,11.8,0.0434,0.0017
30,Tortilla Wraps,21036,"We had unexpected company, and necessity is definitely the mother of invention. Liverwurst and crabmeat form a surprisingly lively and filling partnership with cream cheese in these tasty morsels. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4270030.jpg,16,208.8,4,3.0,23.5,0.9,0.0751,0.0159,0.137,0.4521,"1 (8 ounce) package braunschweiger liverwurst #1 (6 ounce) can canned crabmeat, drained #2 ounces cream cheese, softened #10 (10 inch) flour tortillas ",1.4,8.8,3.1,0.0354,0.0025
31,Broth Marinated BBQ Steak,21037,"An easy way to add a little extra flavor to steak, especially less tender cuts. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F769000.jpg,2,762.2,6,4.3,91.4,65.7,0.0658,0.064,1.0653,3.3815,1 (10.5 ounce) can beef broth #1 (18 ounce) bottle barbeque sauce #2 (8 ounce) steaks beef tenderloin ,1.5,25.0,9.6,0.126,0.0031
32,Pralines,21038,"Had these in New Orleans and loved them, so I tried different combos and liked this best. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F423715.jpg,20,179.6,168,4.4,24.5,23.6,0.0208,0.011300000000000001,0.055,0.0293,1 ½ cups toasted pecans #1 ½ cups white sugar #⅜ cup butter #¾ cup brown sugar #½ cup milk #1 teaspoon vanilla extract ,0.8,9.4,2.8,0.0096,0.0003
33,North Carolina Barbeque Sauce,21039,Two types of barbeque sauce are blended into a rich mixture that's great on any kind of meat. Make it up to a week in advance u002du002d it tastes better the longer it sits. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4317943.jpg,16,282.5,6,3.3,58.5,46.6,0.0111,0.0079,0.1424,1.715,3 (18 ounce) bottles honey barbeque sauce #2 (18 ounce) bottles barbeque sauce #½ cup butter #1 tablespoon brown sugar #1 tablespoon Worcestershire sauce # salt and pepper to taste # water as needed ,0.4,5.9,3.6,0.015300000000000001,0.0002
34,Tortilla Rollups I,21040,"Bite-sized appetizers made from rolled up flour tortillas, cream cheese and salsa! Use toothpicks to hold together the little rollups. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F577745.jpg,16,196.8,42,4.2,25.2,1.7,0.0768,0.0149,0.1696,0.49560000000000004,"1 (8 ounce) package cream cheese, softened #1 (16 ounce) jar chunky salsa #10 (10 inch) flour tortillas ",1.8,8.4,3.9,0.0154,0.0018
35,Tortilla Rollups II,21041,Tortilla rollups filled with a smooth blend dominated by Cheddar cheese and green onions. Adjust the recipe to taste. It is very simple and good. Enjoy! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F14114.jpg,20,176.1,207,4.5,19.3,0.9,0.0993,0.011300000000000001,0.09259999999999999,0.3172,"1 (8 ounce) package cream cheese, softened #4 green onions, finely chopped #¼ cup salsa #4 ounces shredded Cheddar cheese #10 (10 inch) flour tortillas ",1.2,8.6,4.3,0.0183,0.0014
36,Tortilla Rollups III,21042,An easy appetizer to take to a gathering! I use a dish that has a bowl in the middle and put the tortilla rollups all around the bowl. There are never any of these green chile pepper spiced treats left!! The cream cheese may be heated in the microwave for 1-2 minutes to make it spread more easily. The rollups work best when the unsliced rolled tortillas are refrigerated several hours before slicing. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F563656.jpg,10,395.4,21,4.0,41.5,3.2,0.1416,0.0268,0.31889999999999996,0.9907,"2 (8 ounce) packages cream cheese, softened #1 (4 ounce) can diced green chile peppers #1 (16 ounce) jar salsa #10 (10 inch) flour tortillas ",3.1,21.3,11.2,0.0493,0.0032
37,Tortilla Rollups V,21043,"I've been making these for years and they are always a hit at parties! Definitely some work and definitely messy, but worth it. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4562761.jpg,10,368.2,4,3.9,42.2,3.8,0.13390000000000002,0.0272,0.2932,1.0491,"10 (10 inch) flour tortillas #1 (8 ounce) package jalapeno cream cheese #1 (5 ounce) jar pimento cheese spread #1 (8 ounce) jar salsa #1 (4 ounce) jar dried beef #1 bunch green onions, diced ",3.2,16.3,8.1,0.0422,0.0034
38,Whipped Sweet Potato Casserole,21045,A good recipe to try on finicky kids. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4562858.jpg,5,296.4,136,4.4,62.3,37.8,0.0696,0.0358,0.4611,0.0959,"2 pounds sweet potato, peeled and cubed #2 tablespoons orange juice #¾ cup brown sugar #⅛ teaspoon ground nutmeg #2 tablespoons butter, cubed #1 cup miniature marshmallows ",4.6,4.9,3.0,0.012199999999999999,0.0015
39,Tennessee Rubdown,21046,"A rub for all meats, but we use mainly ribs in Tennessee. Brown sugar, ground peppers and spices are blended to bring out the full flavor of whatever you decide to toss on the grill! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F849584.jpg,4,75.7,26,4.3,17.0,8.0,0.0466,0.0254,0.261,2.6424000000000003,2 tablespoons brown sugar #2 tablespoons ground black pepper #2 tablespoons paprika #1 tablespoon chili powder #1 ½ tablespoons ground white pepper #1 ½ tablespoons crushed red pepper #1 ½ tablespoons salt #1 tablespoon garlic powder ,4.6,1.5,0.3,0.0,0.0028
40,Squirrel's Great Beef Steak,21048,My friends request this flavorful marinade every time they come over for a barbeque! This is enough to make one steak. Increase the recipe for a crowd! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1017155.jpg,1,1218.6,79,4.7,34.6,22.3,0.047700000000000006,0.0863,0.9244,5.3852,"¼ cup soy sauce #¼ cup Italian-style salad dressing #¼ cup barbeque sauce #4 tablespoons vegetable oil #1 clove garlic, peeled and minced # steak seasoning to taste # seasoning salt to taste # salt to taste # ground black pepper to taste #10 ounces beef sirloin steak ",1.0,97.3,21.5,0.15130000000000002,0.007
41,Special Chicken Kabobs,21049,"Here's a fantastic and tasty way to barbeque chicken that has been simply marinated in onion juice and saffron. This meal is best served with baked potatoes or cooked vegetables, and a small piece of bread. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4482823.jpg,4,505.2,4,3.2,2.7,0.0,0.0335,0.0375,0.3523,0.3307,"1 ½ pounds skinless, boneless chicken breast halves - cubed #1 cup onion juice # salt and pepper to taste #1 ¼ teaspoons crushed saffron threads #¾ cup melted butter ",0.5,38.7,23.0,0.1884,0.0013
42,Simple Pork Rib Dry Rub,21050,"I have used this simple rub to make ribs on the barbi in both Memphis, where I learned, and England, where I now live. The dry rub will stop the ribs from burning on the outside, as happens with some wet sauces. This rub is hot and sweet, which makes it perfect for ribs. The proportions of ingredients can be adjusted to taste. On two continents, I've received nothing but compliments for this recipe. I use this for approximately 2 kilograms ribs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F59046.jpg,8,102.2,89,3.7,25.0,18.2,0.052399999999999995,0.0222,0.21330000000000002,2.6256999999999997,½ cup freshly ground black pepper #½ cup ground cayenne pepper #1 cup dark brown sugar #3 tablespoons salt ,3.2,1.1,0.2,0.0,0.0024
43,Vegetable Beef Minestrone,21051,"Plenty of vegetables, chick peas or beans of your choice plus pasta. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4799860.jpg,6,273.4,34,4.5,26.3,4.8,0.0706,0.043,0.5075,0.57,"2 slices bacon, chopped #½ pound lean ground beef #2 carrots, chopped #2 cloves garlic, minced #1 large onion, chopped #1 stalk celery, chopped #1 bay leaf #1 teaspoon dried basil #1 teaspoon dried rosemary, crushed #¼ teaspoon crushed red pepper flakes #1 (14.5 ounce) can stewed tomatoes #1 (10.5 ounce) can beef broth #1 (15 ounce) can chickpeas (garbanzo beans), drained #2 ounces spaghetti, broken into pieces ",4.3,13.1,4.7,0.0347,0.003
