,name,id,calories,sugars,fat,sodium,saturated fat
29,Smothered Green Beans,18329,98,1.9,5.4,0.3432,1.7
30,Spiced Up Potatoes,18330,127,0.2,4.5,0.6366,2.6
31,Spinach and Sweet Corn Mashed Potatoes,18331,439,2.6,30.8,0.5942999999999999,17.7
32,Spinach Noodle Casserole,18332,226,0.6,14.9,0.6686,7.5
33,Steamed Zucchini,18333,60,3.2,3.7,0.0062,0.5
34,Sweet Onion Pie,18334,291,4.4,22.0,0.5023,12.5
35,Sweet Vidalia Onion Pie,18335,234,2.6,18.3,0.4843,10.1
36,Zucchini Galore,18336,122,4.8,9.3,0.0075,1.3
37,Zesty Hominy and Cheese,18337,422,4.7,25.0,0.9656,14.9
38,Yum-Yum Corn,18338,258,3.3,18.2,0.1318,10.9
39,Taco Rice,18339,459,3.7,26.4,1.3918,14.1
40,Very Easy Risotto,18340,243,0.5,7.8,0.2843,4.7
41,Tangy Broccoli,18341,143,1.6,9.2,0.6374,5.6
42,Three Cheese Baked Mashed Potatoes,18342,613,4.7,41.0,1.5759,24.5
43,Tomato and Zucchini Melange,18343,47,5.7,0.6,0.15830000000000002,0.1
44,Cheese and Bacon Potato Rounds,18344,806,2.3,54.2,1.7607000000000002,27.1
45,Artichokes,18345,133,0.5,11.7,0.113,7.3
46,Baked Scalloped Potatoes,18346,234,4.3,3.3,0.2703,1.0
47,Blueberry Cornmeal Muffins,18347,180,8.0,8.9,0.2533,5.3
48,Lap Salad,18348,185,3.0,15.5,0.0479,2.0
49,Allie's Delicious Macaroni and Cheese,18349,612,8.7,34.1,0.8022,20.7
50,Baked Spaghetti with Chicken,18350,472,8.2,15.3,0.4135,5.8
51,Angel's Pasta,18351,201,4.2,6.6,0.2019,2.3
52,Whipped Cream,18352,54,0.5,5.5,0.0057,3.4
53,All American Apple Pie,18353,529,43.1,25.9,0.3757,9.2
54,Amy's Lemon Orange Creamy Pie,18354,276,44.5,7.4,0.21080000000000002,4.2
55,Sirecz (Easter Cheese),18355,372,42.4,13.9,0.19090000000000001,5.4
56,Easy Bunny Cake,18356,457,48.0,19.6,0.3618,9.3
57,Peanut Butter Easter Eggs,18357,307,35.9,16.3,0.09509999999999999,6.2
58,Baked Apple Dumplings,18358,378,22.7,18.9,0.060399999999999995,11.7
59,Apple Enchilada Dessert,18359,484,34.6,13.5,0.3997,2.6
60,Auntie Willie's Dutch Apple Pie,18360,275,23.6,12.2,0.0876,7.4
61,Baptist Grasshopper Pie,18361,270,14.8,17.1,0.2105,7.1
62,Bierrocks I,18362,441,8.1,20.1,0.6076,9.1
63,Bierrocks II,18363,398,5.4,15.3,0.9812000000000001,6.7
64,Bierrocks III,18364,287,2.9,21.6,0.523,8.6
65,Asian Chicken Pasta Salad,18365,449,4.4,21.7,0.8634,3.6
66,Banana Cream Supreme,18366,318,21.4,17.9,0.26730000000000004,12.3
67,Blanca's Cherry Cheese Tarts,18367,143,6.1,8.6,0.0953,5.1
68,Butterscotch Deluxe Pie,18368,401,38.8,19.2,0.24680000000000002,11.1
69,Butterscotch Pie III,18369,245,27.9,9.2,0.3009,4.9
70,Cheater Pot Pie,18370,263,4.7,12.9,0.9896,5.1
71,Amber's Devils on Horseback,18371,125,0.4,3.5,0.2626,0.6
72,Baked Bluefish,18372,554,3.7,28.5,0.8457,14.2
73,Almond Buttercrunch Candy II,18373,234,17.9,17.2,0.053899999999999997,7.5
74,Coconut (Haupia) and Chocolate Pie,18374,654,47.0,42.5,0.17909999999999998,25.6
75,Baked Apples with Mint,18375,183,23.0,4.5,0.033,2.6
76,Cherry Cheese Pie II,18376,492,38.5,21.5,0.3292,10.4
77,Blackened Tuna,18377,243,0.0,14.0,0.5456,4.5
78,Chocolate Pecan Pie VI,18378,531,30.2,38.3,0.2918,12.7
79,Best Green Bean Casserole,18379,322,3.1,23.2,1.0683,8.7
80,Bon Bons,18380,836,101.6,45.8,0.2429,27.1
81,Coconut Cream Pie VIII,18381,308,23.3,15.6,0.2346,9.6
82,Christmas Casserole Cookies I,18382,121,15.0,5.9,0.0066,2.5
83,Classic Cooked Egg Nog,18383,94,8.2,4.1,0.10890000000000001,1.8
84,Cranberry Sauce with Jalapeno Peppers,18384,264,53.8,0.2,0.1812,0.0
85,Crustless Apple Meringue Pie,18385,93,12.5,1.7,0.013699999999999999,0.4
86,Creamy Family Style Rice Pudding,18386,232,30.9,3.9,0.0721,1.9
87,Easiest Eggnog,18387,201,22.0,7.4,0.1193,3.6
88,Lemon Dressing,18388,131,1.1,13.6,0.015,1.9
89,Microwave Baked Apples,18389,186,32.1,5.1,0.033,3.0
90,Mint Chocolate Fudge,18390,137,17.8,6.8,0.0246,4.1
91,Pineapple Stuffing,18391,506,57.7,22.8,0.43760000000000004,4.5
92,Pumpkin Bread,18392,319,31.0,12.6,0.4501,1.2
93,Punch,18393,47,10.1,0.1,0.005,0.0
94,Red and White Fudge,18394,356,41.4,19.2,0.099,7.6
95,Russian Tea II,18395,91,13.9,0.0,0.0013,0.0
96,Sea Foam III,18396,159,40.1,0.0,0.0402,0.0
97,Slow Cooker BBQ Pork Chops,18397,544,21.9,35.6,1.0192,12.3
98,Southwestern Cranberries,18398,452,64.6,20.3,0.0116,10.1
99,Date Sour Cream Pie,18399,422,40.8,20.8,0.1494,8.4
