,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,calcium,magnesium,potassium,sodium,ingredients,fat,saturated fat,cholesterol,iron
10,Eclairs II,19010,"My family loves these eclairs and request them all the time. I usually make them as dessert whenever we have company coming, they are always a hit! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1530950.jpg,9,476.2,347,4.4,49.4,0.8,34.6,0.1173,0.0159,0.1737,0.4849,½ cup butter #1 cup water #1 cup all-purpose flour #¼ teaspoon salt #4 eggs #1 (5 ounce) package instant vanilla pudding mix #2 ½ cups cold milk #1 cup heavy cream #¼ cup confectioners' sugar #1 teaspoon vanilla extract #2 (1 ounce) squares semisweet chocolate #2 tablespoons butter #1 cup confectioners' sugar #1 teaspoon vanilla extract #3 tablespoons hot water ,28.4,16.9,0.15780000000000002,0.0014
11,Eclairs I,19011,Cream puffs with a cream cheese filling and chocolate icing. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8238861.jpg,10,380.5,29,4.1,38.4,0.8,24.8,0.0953,0.0214,0.1683,0.44889999999999997,"1 cup water #½ cup butter #¼ teaspoon salt #1 cup all-purpose flour #4 eggs #1 (8 ounce) package cream cheese, softened #2 cups milk #1 (5 ounce) package instant vanilla pudding mix #1 (1 ounce) square unsweetened chocolate, chopped #1 tablespoon butter #1 cup confectioners' sugar #2 tablespoons boiling water ",22.8,13.7,0.13040000000000002,0.0017
12,Chocolate Mousse II,19012,"This is an easy mousse that is still light, fluffy, and very tasty! Substitute hot coffee for the water for a subtle flavor difference. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F802464.jpg,7,155.5,98,4.3,15.4,1.4,13.3,0.023100000000000002,0.031100000000000003,0.1257,0.0878,"1 cup semisweet chocolate chips #5 tablespoons boiling water #4 eggs, separated ",10.0,5.1,0.1057,0.0013
13,Chocolate Mousse I,19013,"Use a chocolate with a high cocoa content for best results. Feel free to use whisky, orange liqueur or anything you fancy, really, instead of the rum. This recipe can be made per person, using one ounce of chocolate and one egg for each. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8277413.jpg,6,238.7,28,4.2,16.4,2.2,13.0,0.027800000000000002,0.006,0.1743,0.0715,"6 ounces bittersweet chocolate, chopped #6 eggs, separated #6 teaspoons rum ",14.4,7.3,0.18719999999999998,0.0011
14,Chocolate Pecan Delite,19014,"This layered dessert with a pecan crust, cream cheese and pudding is a favorite of most all. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7659713.jpg,12,422.3,43,4.7,41.8,1.6,27.1,0.0995,0.027,0.192,0.37939999999999996,"1 cup all-purpose flour #½ cup butter #1 cup finely chopped pecans #1 (8 ounce) package cream cheese #1 cup confectioners' sugar #3 cups frozen whipped topping, thawed #1 (3.9 ounce) package instant chocolate pudding mix #1 (3.4 ounce) package instant vanilla pudding mix #3 cups milk #2 tablespoons chopped pecans ",26.0,13.3,0.045700000000000005,0.0011
15,Peanut Butter Candy Bars,19016,These delicious bars taste like peanut butter cups! We enjoy these any time of the year! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F23197.jpg,35,304.6,120,4.4,28.1,1.6,23.3,0.0145,0.0356,0.1429,0.2181,"1 ½ cups margarine, melted #2 cups peanut butter #4 ½ cups confectioners' sugar #2 cups graham cracker crumbs #½ cup margarine #2 cups semisweet chocolate chips ",21.1,5.1,0.0,0.0008
16,Chocolate Trifle,19017,"At church functions, folks line up for this trifle. And it is so easy to make! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fd04ce8c1f006b5d299834cdfdfbf9a0d%2F1647284005IMG_20220314_135302.jpg,12,488.1,1689,4.5,73.7,1.9,31.2,0.108,0.0312,0.2439,0.3137,"1 (19.8 ounce) package brownie mix #1 (3.9 ounce) package instant chocolate pudding mix #½ cup water #1 (14 ounce) can sweetened condensed milk #1 (8 ounce) container frozen whipped topping, thawed #1 (12 ounce) container frozen whipped topping, thawed #1 (1.5 ounce) bar chocolate candy ",18.8,11.5,0.012,0.0011
17,Chocolate Velvet Ice Cream,19018,"If you like chocolate ice cream you'll love this ice cream reminiscent of a frozen mousse. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F16101.jpg,8,399.4,195,4.8,25.5,1.6,20.7,0.0665,0.0318,0.1467,0.0346,"⅔ cup white sugar #⅓ cup unsweetened cocoa powder #3 egg yolks, beaten #2 ⅔ cups heavy cream #⅓ cup semisweet chocolate chips ",33.6,20.4,0.18430000000000002,0.0009
18,Cherry Dump Pudding Cake,19019,This is a recipe that was passed down from my grandmother. She used to make it frequently for her children when they were growing up. It's a delicious recipe that contains fresh sour cherries. You can substitute water for the cherry juice. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5532140.jpg,9,391.2,27,4.7,69.7,1.9,45.6,0.0947,0.0158,0.19419999999999998,0.29969999999999997,2 cups all-purpose flour #½ teaspoon salt #2 teaspoons baking powder #1 cup white sugar #½ cup butter #1 cup milk #1 teaspoon vanilla extract #4 cups pitted sour cherries #½ cup white sugar #1 ¼ cups cherry juice ,11.2,6.9,0.0293,0.0017
19,Chocolate Turtles® Cheesecake,19020,"This is a fabulous cheesecake with an chocolate cookie crust and a pecan, caramel and fudge topping. It presents beautifully! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1107359.jpg,8,600,20,4.5,58.9,2.2,30.1,0.1038,0.0298,0.24159999999999998,0.4765,"24 chocolate sandwich cookies, crushed #2 tablespoons butter, melted #2 (8 ounce) packages cream cheese #⅓ cup white sugar #¼ cup sour cream #2 eggs #1 teaspoon vanilla extract #½ cup caramel topping #½ cup chocolate fudge topping #½ cup pecan halves ",38.1,18.1,0.1191,0.0025
20,Cinnamon Popcorn I,19021,"Crunchy, pink and slightly sweet. ",0,64,64.2,6,2.9,4.5,0.4,0.7,0.0016,0.0044,0.0114,0.14830000000000002,½ cup white corn syrup #1 cup margarine #1 teaspoon salt #1 drop red food coloring #1 teaspoon cinnamon oil #1 teaspoon baking soda #8 quarts popped popcorn ,5.2,0.9,0.0,0.0001
21,Coconut Ice,19023,A delicious and attractive candy snack for any coconut lover. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7411408.jpg,20,118.8,35,3.2,21.5,1.0,20.5,0.0018,0.0056,0.0343,0.0023,2 cups white sugar #⅔ cup water #1 teaspoon vanilla extract #1 ⅓ cups flaked coconut #2 drops red food coloring ,4.0,3.5,0.0,0.0002
22,Coffee Ice Cream Fudge Cake,19024,"Crumb crust, coffee ice cream middle, topped with toasted marshmallow -- like a cross between s'mores and mud pie! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4545949.jpg,10,960.2,21,4.9,101.8,4.3,69.9,0.24180000000000001,0.0484,0.1559,0.3459,"½ cup light corn syrup #1 cup heavy cream #10 ounces semisweet chocolate, chopped #16 graham crackers, broken into 1/2-inch pieces #1 cup toasted almonds #3 tablespoons white sugar #½ cup melted butter #1 ½ quarts coffee ice cream, softened #1 (7 ounce) jar marshmallow creme #2 cups miniature marshmallows ",58.1,30.4,0.201,0.003
23,Cool Cookie Crumble,19025,Quick and easy gelatin dessert -- even the kids can help. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4460802.jpg,6,211.5,3,4.2,28.7,0.2,4.4,0.0029,0.0015,0.011699999999999999,0.06659999999999999,"1 (3 ounce) package fruit flavored Jell-O® mix #⅔ cup boiling water #1 ¼ cups ice water #3 ½ cups frozen whipped topping, thawed #10 vanilla wafers, crumbled ",8.6,7.1,0.0,0.0002
24,Creme Brulee I,19027,"Stovetop creme brulee with a brown sugar top, served over fruit -- use raspberries, or substitute your favorite seasonal fruit. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2785578.jpg,8,317.7,18,2.6,22.5,4.2,16.5,0.0712,0.016800000000000002,0.1581,0.0287,4 egg yolks #3 tablespoons white sugar #2 cups heavy cream #⅓ cup brown sugar #4 cups raspberries ,24.9,14.5,0.18780000000000002,0.0007
25,Creme Brulee IV,19028,Traditional stovetop custard with a sugared top. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F41827.jpg,6,571.6,10,3.5,27.5,0.0,23.6,0.1061,0.0094,0.1138,0.055799999999999995,3 cups heavy cream #2 vanilla beans #8 egg yolks #½ cup white sugar #1 tablespoon white sugar ,49.9,29.5,0.4362,0.0006
26,Creme Brulee II,19029,"A wonderful baked creme brulee. Use white or brown sugar for the top. If you do not have a kitchen torch, a regular propane torch can be used or simply place the custard under the broiler for a few minutes. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8998475.jpg,4,554.3,218,4.0,28.7,0.0,25.2,0.0945,0.0096,0.1029,0.0506,2 cups heavy cream #¼ cup white sugar #1 pinch salt #1 teaspoon vanilla extract #3 egg yolks #4 tablespoons white sugar ,47.8,28.6,0.32,0.0005
27,Banana Caramel Fluff,19030,"This is a quick, wonderful dessert that all will enjoy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3380684.jpg,4,537.7,60,4.4,89.5,2.3,11.6,0.048100000000000004,0.0222,0.286,0.7656000000000001,"2 bananas, peeled and sliced #1 tablespoon vanilla extract #2 tablespoons butter, melted #1 (8 ounce) can refrigerated crescent rolls #1 cup caramel topping ",18.0,6.8,0.0161,0.0018
28,Cream Puff Shells,19032,Choux pastry -- fill with sweetened whipped cream or custard. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3072281.jpg,12,137.3,104,4.6,8.1,0.3,0.2,0.0104,0.0043,0.0335,0.047799999999999995,½ cup shortening #⅛ teaspoon salt #1 cup boiling water #1 cup sifted all-purpose flour #4 eggs ,10.3,2.7,0.062,0.0008
29,Cream Puffs I,19033,Puff pastry with a custard cream filling. Garnish with melted chocolate or a dusting of confectioners' sugar. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4585558.jpg,10,255,105,4.1,25.1,0.4,12.5,0.07490000000000001,0.011699999999999999,0.12129999999999999,0.08120000000000001,"½ cup white sugar #5 tablespoons all-purpose flour #1 pinch salt #2 cups milk #2 egg yolks, beaten #1 teaspoon vanilla extract #½ cup shortening #1 cup water #1 cup all-purpose flour #1 pinch salt #4 eggs ",14.4,4.1,0.12040000000000001,0.0013
30,Cream Puffs II,19034,These are delicious looking cream puffs or eclairs filled with whipped cream and topped with melted chocolate. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3210740.jpg,12,304.3,89,4.4,14.7,0.7,5.1,0.0407,0.015300000000000001,0.0912,0.1685,1 cup water #½ cup butter #1 cup sifted all-purpose flour #¼ teaspoon salt #4 eggs #1 pint heavy cream #1 tablespoon white sugar #½ teaspoon vanilla extract #½ cup semisweet chocolate chips ,26.2,15.8,0.1363,0.001
31,Death by Chocolate,19035,"I make this while I'm cleaning the kitchen after dinner--layers of German chocolate cake, toffee candy, and whipped topping. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F352251.jpg,12,497.9,133,4.8,62.6,0.6,43.4,0.11259999999999999,0.011800000000000001,0.18380000000000002,0.5388,"1 (18.25 ounce) package German chocolate cake mix #1 ¼ cups water #½ cup vegetable oil #3 eggs #1 (3.9 ounce) package instant chocolate pudding mix #1 ⅔ cups milk #¾ cup strong brewed coffee #1 (12 ounce) container frozen whipped topping, thawed #6 (1.4 ounce) bars chocolate covered toffee bars, frozen and crushed ",24.4,11.6,0.054,0.0015
32,Death By Chocolate Cake,19036,"Ladyfingers, rum, chocolate and cream -- more like a mousse than a cake, but this is still a very rich dessert. Garnish with stemmed, candied cherries. This can be made up to one week in advance -- for a long display time, use stabilized whipped cream and add 1 tablespoon dissolved gelatin to the chocolate mixture. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8973.jpg,16,816,7,4.3,43.7,2.9,29.3,0.0768,0.06420000000000001,0.2792,0.3402,"3 (3 ounce) packages ladyfinger cookies #½ cup dark rum #1 ½ pounds butter #2 (12 ounce) packages semisweet chocolate chips #12 eggs, separated #2 ½ cups heavy cream #¼ cup white sugar #1 teaspoon vanilla extract #2 tablespoons vegetable oil #½ cup semisweet chocolate chips ",69.3,40.7,0.3168,0.0028
33,Dessert Crepes,19037,"Essential crepe recipe. Sprinkle warm crepes with sugar and lemon, or serve with cream or ice cream and fruit. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fcfbf59c223c041e7ec766b1951d6b99b%2F16472846725D8B3E92-1C8C-4A09-8785-D744F9D78A68.jpeg,8,163.8,802,4.9,17.2,0.4,5.3,0.06559999999999999,0.0112,0.1154,0.2345,"4 eggs, lightly beaten #1 ⅓ cups milk #2 tablespoons butter, melted #1 cup all-purpose flour #2 tablespoons white sugar #½ teaspoon salt ",7.7,3.4,0.11109999999999999,0.0012
34,Dulce de Leche,19039,"This is a typical sweet from Argentina. You can eat it alone, use it to fill cakes, or serve over bananas, ice-cream or any other dessert! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F30080.jpg,32,171.2,54,4.3,34.2,0.0,34.2,0.1421,0.013300000000000001,0.1824,0.089,1 gallon milk #1 vanilla bean #4 ½ cups white sugar #1 teaspoon baking soda ,2.4,1.5,0.009699999999999999,0.0
35,Easy Chocolate Cream Torte,19041,"Delicious, elegant and very creamy layered dessert! Got the recipe from my mother. Freezes well. ",0,12,405.8,2,4.0,45.1,2.1,25.5,0.0431,0.0335,0.154,0.18009999999999998,2 cups all-purpose flour #⅓ cup unsweetened cocoa powder #½ teaspoon baking soda #½ teaspoon salt #½ cup shortening #⅔ cup white sugar #⅓ cup brown sugar #1 egg #¼ cup water #1 teaspoon vanilla extract #2 cups heavy cream #½ cup white sugar #⅓ cup unsweetened cocoa powder #1 teaspoon vanilla extract #2 tablespoons instant coffee granules ,24.5,11.8,0.0698,0.0018
36,Easy Chocolate Ice Cream,19042,Combine three ingredients and freeze -- what could be simpler? ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F46000.jpg,12,288.2,79,4.3,29.7,0.4,26.1,0.12090000000000001,0.0221,0.18830000000000002,0.0686,1 (14 ounce) can sweetened condensed milk #⅔ cup chocolate syrup #2 cups heavy cream ,17.7,11.0,0.0655,0.0004
37,Easy Ice Cream Sammies,19043,Easy Ice cream sandwiches that freeze great and hold flavor! Enjoy as often as necessary! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F232099.jpg,6,766.3,9,3.4,97.3,2.7,63.5,0.2617,0.0405,0.2844,0.8235,"1 (18.25 ounce) package chocolate cake mix #1 quart mint chocolate chip ice cream, softened ",38.6,18.7,0.1391,0.0048
38,Easy Peach Cobbler,19044,This is a great peach cobbler--so easy a child can make it! It is great right out of the oven served with vanilla ice cream. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F85466596cfa28ca8a7c64668d4e1a963%2F1650235145P1060170.JPG,6,389.5,295,4.0,58.8,1.5,42.5,0.1271,0.013699999999999999,0.18159999999999998,0.393,"1 cup white sugar #½ cup butter, room temperature #1 cup self-rising flour #1 cup milk #1 (15 ounce) can peaches ",16.4,10.3,0.0439,0.0012
39,Easy Toffee,19045,Very easy and yummy toffee made with saltine crackers. You'll love it! Serves a crowd. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F950087.jpg,25,235.8,98,4.7,25.9,1.6,16.1,0.032100000000000004,0.0308,0.11159999999999999,0.1764,1 (10 ounce) package saltine crackers #1 cup butter #1 cup light brown sugar #1 (12 ounce) package semisweet chocolate chips #1 cup slivered almonds ,14.9,7.4,0.0195,0.0013
40,Eccles Cakes,19046,"From the North of England, these cakes are pastries, a sweet and spicy mixture in a puff pastry case with a shiny coating -- best eaten straight from the oven. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2491720.jpg,8,267.5,17,4.6,31.8,1.4,14.1,0.0132,0.008,0.0778,0.104,"2 tablespoons butter #1 cup dried currants #2 tablespoons chopped candied mixed fruit peel #¾ cup demerara sugar #¾ teaspoon mixed spice #½ (17.5 ounce) package frozen puff pastry, thawed #1 egg white, beaten #¼ cup white sugar for decoration ",14.6,4.8,0.0076,0.0014
41,Chocolate Wafer Roll,19047,Also known as a zebra cake -- chocolate wafers and whipped cream -- simple and delicious. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1848430.jpg,8,183,15,4.5,15.5,0.5,8.2,0.0241,0.0101,0.054299999999999994,0.0984,1 cup heavy cream #¼ cup confectioners' sugar #½ teaspoon vanilla extract #20 chocolate wafers ,13.1,7.5,0.041100000000000005,0.0006
42,Fantasy Fudge in a Cloud,19048,"Rich, white chocolate infused, cream cheese clouds are layered with buttery yellow cake, bananas, cherries, and toasted pecans, and smothered with fudge topping and whipped cream. This is a fudge sundae at its best -- better yet, feed it to your honey and he'll swoon from the sweetness of it all! Oh, yeah, small portions recommended. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F213671.jpg,20,353.1,20,4.4,49.8,2.0,24.7,0.0927,0.018600000000000002,0.22290000000000001,0.2808,"1 (18.25 ounce) package yellow cake mix #1 (3.3 ounce) package instant white chocolate pudding mix #1 cup milk #1 (8 ounce) package cream cheese, room temperature #1 (8 ounce) container frozen whipped topping, thawed #3 bananas, sliced #1 cup chopped toasted pecans #1 ¼ cups chocolate fudge topping #1 (21 ounce) can cherry pie filling ",15.5,6.4,0.014,0.001
43,Flan I,19049,"This is a wonderful flan recipe from the late Iris Perez. Its origin is Mexican. For a denser, cheesecake-like texture, substitute eight ounces of cream cheese for two of the eggs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F396072.jpg,8,375.8,51,4.0,64.6,0.0,64.6,0.1661,0.0188,0.2502,0.21080000000000002,8 eggs #1 (14 ounce) can sweetened condensed milk #1 ½ teaspoons vanilla extract #1 ½ cups white sugar ,9.2,4.2,0.2017,0.001
44,Floating Island (Oeufs a la Neige),19050,A soft vanilla custard with floating clouds of poached meringue. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F180768.jpg,5,166.4,10,4.7,23.6,0.0,23.6,0.099,0.011,0.1463,0.2347,"3 eggs #½ cup white sugar, divided #¼ teaspoon salt #1 ½ cups whole milk #1 teaspoon vanilla extract ",5.3,2.3,0.1183,0.0006
45,Fraisier,19051,"My cake is very difficult to make but in the end it turns out very beautiful. Garnish with a sprinkling of confectioners' sugar. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F13111.jpg,8,584.3,2,2.0,70.9,5.2,50.1,0.06709999999999999,0.027800000000000002,0.2902,0.22590000000000002,"3 cups raspberries #1 ¾ cups white sugar, divided #6 egg whites #11 egg yolks, divided #1 ¼ cups sifted all-purpose flour #1 cup butter, softened #1 egg #1 quart fresh strawberries, rinsed and sliced ",30.4,17.0,0.3659,0.0023
46,Bananas Foster Chimichangas,19052,The contrast of the crunchy tortilla with the warm bananas is to die for. Serve with banana syrup and your favorite ice cream. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2915605.jpg,4,487,93,4.6,60.8,2.6,35.3,0.0746,0.0292,0.2968,0.2622,¼ cup butter #3 firm bananas. sliced #½ cup brown sugar #2 tablespoons spiced rum #2 (10 inch) flour tortillas #1 cup vegetable oil for frying ,22.4,8.7,0.0305,0.0016
