,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,calcium,iron,magnesium,potassium,sodium,ingredients,saturated fat,cholesterol
10,Greek Garbanzo Bean Salad,16110,This is a delightful salad that doesn't skimp on taste. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9228691.jpg,8,214.3,393,4.7,25.5,5.8,2.5,11.5,0.1042,0.0032,0.0349,0.289,1.0668,"2 (15 ounce) cans garbanzo beans, drained #2 cucumbers, halved lengthwise and sliced #12 cherry tomatoes, halved #½ red onion, chopped #2 cloves garlic, minced #1 (15 ounce) can black olives, drained and chopped #1 ounce crumbled feta cheese #½ cup Italian-style salad dressing #½ lemon, juiced #½ teaspoon garlic salt #½ teaspoon ground black pepper ",2.1,0.0032
11,Carrot and Raisin Salad I,16111,This is an excellent lunch box salad (my husbands favorite)! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F188225.jpg,4,210.9,42,4.2,20.6,2.4,13.8,14.8,0.0345,0.0006,0.014199999999999999,0.353,0.1561,2 cups shredded carrots #½ cup diced celery #½ cup raisins #⅓ cup mayonnaise #1 tablespoon distilled white vinegar ,2.2,0.007
12,Chocolate Spoons,16112,"These chocolate-covered spoons make delightful holiday gifts. They are so wonderful to have at home, too. Use them to stir a little chocolate into your coffee, or strengthen your hot chocolate. You will need 20 to 24 plastic spoons for this recipe. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4467637.jpg,24,84.2,60,4.5,10.6,0.0,3.1,4.4,0.0,0.0,0.0,0.0162,0.0,1 cup semisweet chocolate chips #.778 cup milk chocolate chips ,2.8,0.0012
13,Crisp Little Lemon Cookies,16113,This is an easy and delicious recipe made with a cake mix. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5029432.jpg,48,65.9,72,4.3,8.4,0.1,4.7,3.3,0.006,0.0004,0.0003,0.011699999999999999,0.09659999999999999,"1 (18.25 ounce) package lemon cake mix #1 cup crisp rice cereal #½ cup butter, melted #1 egg ",1.7,0.011699999999999999
14,Spicy Spanish Sausage Supper,16114,A great recipe to warm you up on cold days. Your favorite pork sausage with rice and mixed veggies. Makes a great one skillet meal. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F968230.jpg,4,657.2,13,3.8,41.2,3.1,6.0,41.3,0.08,0.0033,0.0357,0.5361,3.1227,"½ cup chopped green bell pepper #⅓ cup chopped celery #¼ cup chopped onion #1 tablespoon vegetable oil #1 pound smoked sausage, sliced #2 cups water #1 (10 ounce) can diced tomatoes with green chile peppers #1 (6.8 ounce) package Spanish-style rice mix #¼ cup sliced stuffed green olives #⅛ teaspoon ground black pepper ",13.5,0.0772
15,Bourbon Whiskey BBQ Sauce,16115,"This is a barbecue sauce recipe using Kentucky bourbon whiskey. For best results, refrigerate for a day or two, allowing the flavors to blend. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0f2f89b56ee1d6930b5ec25aee71452a%2F164399334666568431336__CF92D482-AE40-447E-9E8A-5CF2F3BB1F84.fullsizerender.jpg,16,107.3,923,4.7,16.6,0.4,14.6,1.8,0.0201,0.0006,0.0095,0.21209999999999998,0.6294,"½ onion, minced #4 cloves garlic, minced #¾ cup bourbon whiskey #½ teaspoon ground black pepper #½ tablespoon salt #2 cups ketchup #¼ cup tomato paste #⅓ cup cider vinegar #2 tablespoons liquid smoke flavoring #¼ cup Worcestershire sauce #½ cup packed brown sugar #⅓ teaspoon hot pepper sauce, or to taste ",0.3,0.0
16,Figs Stuffed with Almonds and Chips,16116,"An amazing dessert! You can use figs or dates in this recipe, and you can replace the orange liqueur with Marsala wine if you prefer. Preparation Time: 15 minutes. This recipe is from The WEBB Cooks, articles and recipes by Robyn Webb, courtesy of the American Diabetes Association. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F253644.jpg,6,100.2,6,4.1,16.5,2.5,13.5,3.6,0.0349,0.0005,0.0287,0.19,0.0017,6 fresh figs #2 tablespoons mini semi-sweet chocolate chips #¼ cup blanched slivered almonds #½ fluid ounce orange liqueur ,0.8,0.0
17,Yuma Dip Sandwiches,16117,"Marinated top round on French bread with onions and mushrooms, dipped in a Southwestern-style cheese sauce. Excessive and indulgent--but way, way, satisfying! Fun guest or party food. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3908594.jpg,7,1145.4,8,4.5,91.9,4.3,16.4,54.4,0.4573,0.009300000000000001,0.09259999999999999,1.3426,3.4112,"3 pounds top round roast #1 (16 ounce) bottle Italian-style salad dressing #1 onion, thinly sliced #8 ounces fresh mushrooms, sliced #4 tablespoons butter #2 (1 pound) loaves French bread #1 pound processed cheese food (eg. Velveeta), cubed #1 cup salsa #¼ cup chopped jalapeno stuffed green olives ",19.8,0.1633
18,Beef Jerky,16118,"This is one of many variations I have tried. I use my oven. If you have a food dehydrator, be sure to follow factory instructions. I store mine in a plastic jar. No refrigeration needed, and it keeps for months. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F438407.jpg,5,204.2,33,4.6,2.0,0.2,1.1,13.0,0.0087,0.0015,0.0242,0.3369,0.791,1 pound eye of round #¼ cup soy sauce #½ teaspoon ground black pepper #1 teaspoon brown sugar #1 teaspoon hot pepper sauce ,5.2,0.055299999999999995
19,Beef Pepper Steak,16119,"This makes a tasty, extremely tender pepper steak. Try serving with salad, tomatoes and French fries. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6685967.jpg,2,533.2,33,4.6,5.9,1.8,0.9,44.4,0.045899999999999996,0.0054,0.0464,0.5413,1.2357,"12 black peppercorns, coarsely ground #2 tablespoons tamari #1 clove garlic, minced #1 pinch white sugar #1 pinch salt #10 ounces beef filet #2 tablespoons butter ",20.6,0.13119999999999998
20,Vegetable and Feta Latkes,16120,There are great for a change of latke pace! Terrific for Hanukah parties when you're looking to give your friends a little extra. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2Fc24404eecac8db1ba48404e167ecaaea%2F6889581.jpg,6,224.5,74,4.4,17.3,2.2,2.9,14.6,0.1,0.0018,0.027899999999999998,0.375,0.39030000000000004,"2 ½ cups grated zucchini #1 cup peeled and shredded potatoes #1 cup shredded carrots #½ teaspoon salt #3 eggs, lightly beaten # salt to taste # freshly ground black pepper #¾ cup matzo meal #½ cup chopped fresh parsley #½ cup crumbled feta cheese #¼ cup vegetable oil ",3.9,0.1041
21,Four Bean Salad,16121,This is the best bean salad my father in-law ever ate. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5574307.jpg,10,204.4,15,4.0,41.5,7.6,22.2,2.0,0.057,0.0025,0.03,0.2822,0.4623,"1 cup white sugar #1 cup white wine vinegar #1 tablespoon vegetable oil #1 onion, chopped #1 green bell pepper, chopped #6 stalks celery, chopped #1 (15 ounce) can green beans, drained #1 (15 ounce) can lima beans, drained #1 (15 ounce) can kidney beans, drained #1 (15 ounce) can pinto beans, drained #1 (4 ounce) jar pimentos ",0.3,0.0
22,Spicy Mexican Salad,16122,"Everyone at work always asks for this recipe, and the bowl always comes home empty! It may sound strange, but it is so good! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F21088.jpg,11,434,79,4.6,36.2,5.1,10.0,28.1,0.1436,0.0015,0.0182,0.2034,0.8824,"1 (10 ounce) package chopped romaine lettuce #1 ½ cups shredded Cheddar and Monterey cheese blend #1 (15 ounce) can pinto beans, drained #1 (15 ounce) can black beans, rinsed and drained #2 tomatoes, chopped #1 (10.5 ounce) bag spicy corn chips #1 (16 ounce) bottle Catalina salad dressing ",5.9,0.0109
23,Ambrosia Fruit Salad,16123,"EASY EASY EASY. If you like maraschino cherries you can use them, if not remember there are maraschino cherries in your fruit cocktail. Also, a little juice from the maraschino cherries will color your fruit salad a festive red. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8248457.jpg,12,274.1,241,4.3,41.3,2.8,23.7,12.4,0.0176,0.0008,0.0222,0.15109999999999998,0.062299999999999994,"1 (8 ounce) container frozen whipped topping, thawed #2 ½ cups shredded coconut #½ cup chopped walnuts #1 (8 ounce) can fruit cocktail, drained #1 (8 ounce) can pineapple chunks, drained #1 (11 ounce) can mandarin oranges, drained #3 cups miniature marshmallows #1 (10 ounce) jar maraschino cherries, drained (Optional)#1 teaspoon ground nutmeg #1 teaspoon ground cinnamon ",8.5,0.0
24,Apple Salad II,16124,This a great dessert salad to serve after dinner. My children don't eat much fruit but they eat this salad. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2890324.jpg,15,273.6,15,4.1,40.8,3.9,32.6,13.5,0.0268,0.0008,0.0252,0.31810000000000005,0.0108,"5 Granny Smith apples - peeled, cored and chopped #5 Red Delicious apples - peeled, cored and chopped #2 (8 ounce) cans pineapple chunks, drained #2 cups raisins #1 cup chopped pecans #1 (16 ounce) container frozen whipped topping, thawed ",7.0,0.0
25,Creamy Fruit Salad II,16125,"This is an easy dish to whip up for a pot luck. For variation, add whatever fruit is in season. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F228037.jpg,8,388.6,23,4.0,44.7,1.6,15.8,21.7,0.1217,0.0011,0.0155,0.313,0.2033,"2 (8 ounce) packages cream cheese, softened #½ (14 ounce) can sweetened condensed milk #2 (15.25 ounce) cans fruit cocktail #3 tablespoons maraschino cherries, halved #1 banana, sliced (Optional)",13.7,0.0699
26,Chocolate Caramel Nut Salad,16126,This candy bar salad is good to make for a child's party or school function. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F737571.jpg,10,388.8,71,4.5,56.0,2.9,47.0,17.9,0.0714,0.0004,0.034,0.2575,0.3103,"1 (5 ounce) package instant vanilla pudding mix #1 cup milk #1 (12 ounce) container frozen whipped topping, thawed #6 apple - peeled, cored, and chopped #6 (2.16 ounce) bars chocolate-coated caramel-peanut nougat candy, chilled and sliced #¼ cup seedless grapes (Optional)",11.0,0.0067
27,Taffy Apple Salad III,16127,"The whipped topping, apples and nuts make this easy apple salad both creamy and crunchy. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F381559.jpg,7,461.7,17,4.4,56.6,4.5,45.2,24.5,0.0531,0.0018,0.07379999999999999,0.3861,0.0378,"1 (20 ounce) can pineapple chunks #2 cups miniature marshmallows #1 ½ tablespoons white wine vinegar #½ cup white sugar #1 egg, beaten #1 tablespoon all-purpose flour #2 cups chopped red apple #1 ½ cups raw Spanish peanuts #1 (8 ounce) container frozen whipped topping, thawed ",9.6,0.026600000000000002
28,Cassie's Wishy Chicken,16128,"The name comes from my daughter, who calls it 'wishy' chicken. She loves this dish! It's barbecued chicken using a really simple marinade. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F258225.jpg,6,702.9,16,3.9,3.9,0.3,2.2,49.9,0.046200000000000005,0.003,0.0638,0.5993999999999999,5.2005,"1 (4 pound) whole chicken #1 lemon, juiced #5 tablespoons salt #1 teaspoon paprika #1 ½ teaspoons ground black pepper #5 cloves garlic, minced #¼ cup thousand island dressing #2 cups water ",13.8,0.2305
29,Honey Mustard Dressing II,16129,"A very old but good recipe. Use as a dip or salad dressing. If you like, you can use lime juice instead of lemon juice. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9236157.jpg,3,157,1098,4.7,6.8,0.2,6.1,14.8,0.004900000000000001,0.0001,0.003,0.016,0.1628,¼ cup mayonnaise #1 tablespoon prepared mustard #1 tablespoon honey #½ tablespoon lemon juice ,2.2,0.007
30,Magical Dressing,16130,This is my dressing and it's perfect for any green salad - especially cucumber! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F72046.jpg,8,143.2,48,4.5,5.9,0.0,5.6,13.5,0.0085,0.0003,0.0007,0.0208,0.14909999999999998,½ cup olive oil #½ cup balsamic vinegar #5 dashes lemon pepper #2 tablespoons brown sugar #1 tablespoon lemon juice ,1.9,0.0
31,Ranch Dressing II,16131,"This ranch dressing is great because it doesn't have all the chemicals and preservatives that many do. You can also use buttermilk in place of the sour cream, if you like. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9393802.jpg,12,152.7,1212,4.6,1.1,0.0,0.2,16.6,0.013800000000000002,0.0001,0.0016,0.0195,0.13369999999999999,1 cup mayonnaise #½ cup sour cream #½ teaspoon dried chives #½ teaspoon dried parsley #½ teaspoon dried dill weed #¼ teaspoon garlic powder #¼ teaspoon onion powder #⅛ teaspoon salt #⅛ teaspoon ground black pepper ,3.4,0.0112
32,Raspberry Salad Dressing I,16132,"This is a cool and creamy salad dressing with yogurt and raspberries. If you can find raspberry vinegar, use that instead. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F181303.jpg,12,18.1,7,4.1,2.4,0.3,1.9,0.7,0.0259,0.0,0.0034,0.0405,0.0095,1 cup plain yogurt #½ cup raspberries #1 tablespoon red wine vinegar #2 teaspoons white sugar ,0.4,0.0027
33,Raspberry Salad Dressing II,16133,"This is a smooth and creamy raspberry dressing. If you can find raspberry vinegar, use that instead. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F571563.jpg,6,36.2,13,4.3,4.7,0.7,3.8,1.4,0.0519,0.0001,0.0067,0.081,0.0189,1 cup plain yogurt #½ cup raspberries #1 tablespoon red wine vinegar #2 teaspoons white sugar ,0.9,0.0053
34,L and M's Creamy Jelly Salad,16134,A quick and easy side dish that your family and friends will enjoy. ,0,6,312.8,4,3.9,32.8,0.8,30.7,19.6,0.024,0.0004,0.0085,0.12329999999999999,0.31210000000000004,"1 (6 ounce) package lemon flavored Jell-O® #1 cup boiling water #1 (3 ounce) package cream cheese, softened #½ cup mayonnaise #1 tablespoon white wine vinegar #1 cup shredded carrots #1 (8 ounce) can crushed pineapple, drained ",5.3,0.0225
35,Tabbouleh II,16135,"This recipe is the real deal! It's great tasting, healthy and easy to make. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2214724.jpg,4,100.9,79,4.6,19.2,5.7,5.4,3.0,0.06509999999999999,0.0019,0.0448,0.5656,0.019600000000000003,"¼ cup bulgur #½ cup boiling water #1 cup chopped parsley #¼ cup chopped fresh mint leaves #5 tomatoes, diced #1 onion, finely diced #2 teaspoons olive oil #1 lemon, juiced # salt to taste ",0.4,0.0
36,Simple Macaroni Salad with Egg,16136,"This is a very basic pasta salad, easily fixed up by adding extra vegetables or some chopped salami. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1146311.jpg,6,204.3,10,3.9,38.3,2.4,5.1,2.2,0.023899999999999998,0.0015,0.0229,0.1719,0.38680000000000003,2 cups macaroni #2 eggs #2 tablespoons chopped dill pickles #¾ cup chopped celery #2 tablespoons thinly sliced green onion #¾ cup fat free Italian-style dressing # salt and pepper to taste ,0.6,0.062
37,Marinated Potato Salad with Anchovy Vinaigrette,16137,"This is a delicious potato salad that includes sausage, olives and many other zesty flavors. It's great to serve at a summer picnic lunch or barbecue. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5277756.jpg,7,833.3,4,3.7,36.2,5.0,3.3,71.0,0.0974,0.004200000000000001,0.0658,1.1972,1.4385,"1 ½ cups vegetable oil #½ cup white wine vinegar #¼ cup chopped parsley #1 ½ teaspoons salt #1 teaspoon white sugar #1 (2 ounce) can anchovy filets #2 cloves garlic, minced #3 pounds red potatoes #1 pound Italian sausage #2 cups chopped green onions #⅓ cup chopped parsley #6 ounces black olives, pitted and halved # salt and pepper to taste ",14.0,0.054799999999999995
38,Taco Salad II,16138,This recipe is a favorite at all gatherings. It has been passed down in our family for three generations. There is one friend of the family who comes to our gatherings specifically for this dish. It is easy to make and oh so delicious. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F272404.jpg,7,466.8,104,4.6,23.4,2.8,6.1,30.0,0.0565,0.002,0.047200000000000006,0.44830000000000003,0.8585,"1 pound lean ground beef #1 (1.25 ounce) package taco seasoning mix #1 head iceberg lettuce - rinsed, dried, and shredded #1 onion, chopped #1 green bell pepper, chopped #3 cups shredded Cheddar-Monterey Jack cheese blend #2 tomatoes, chopped #4 ounces crushed tortilla chips #¼ cup French dressing ",14.6,0.0853
39,Chicken and Vegetable Pasta Salad,16139,"Chicken, vegetables and pasta make up this filling salad which everyone seems to like, even people who don't like pasta salad. This is great for hot summer days when you just don't feel like turning on the oven. Note: the amounts here are estimates, as I rarely measure when I make this salad, so feel free to add a bit more or less of whatever you please. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1012315.jpg,6,218.4,19,4.7,20.4,2.2,3.8,11.4,0.041100000000000005,0.002,0.0238,0.2166,0.6543,"1 cup seashell pasta #1 cup chopped, cooked chicken meat #3 green onions, chopped into 1 inch pieces #1 red bell pepper, chopped #1 cup sliced black olives #1 cucumber, peeled and chopped #⅔ cup Italian-style salad dressing #¼ cup sunflower seeds (Optional)",1.9,0.0175
40,Fugi Salad,16140,A unique salad that will become a favorite of your family and friends. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F48602.jpg,8,364.5,65,4.7,28.3,5.4,19.0,27.0,0.1723,0.0025,0.08020000000000001,0.3468,0.9113,"2 tablespoons butter #¾ cup blanched slivered almonds #½ cup sesame seeds #1 medium head cabbage, chopped #8 green onion, chopped #2 (3 ounce) packages ramen noodles #½ cup vegetable oil #½ cup white sugar #⅓ cup rice wine vinegar #¼ teaspoon ground black pepper #2 teaspoons salt ",4.8,0.0077
41,Italian Pasta Veggie Salad,16141,"This pasta salad recipe calls for a fat-free Italian dressing, your choice of veggies and some fresh ground pepper. Sound good?! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2111.jpg,8,181.1,24,4.7,38.1,2.8,5.7,0.7,0.015300000000000001,0.0007,0.0256,0.2425,0.238,"10 ounces fusilli pasta #1 onion, chopped #1 green bell pepper, chopped #2 tomatoes, chopped #1 cup chopped mushrooms #¾ cup fat free Italian-style dressing ",0.1,0.0
