,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,calcium,iron,magnesium,potassium,sodium,ingredients,saturated fat,cholesterol
10,Busy Student's Supper,24510,"Simple rice and salmon dish I thought up on the way home from school today. When I get around to going grocery shopping I will try it with fresh veggies! Not too gourmet, but quick and nutritious. ",0,4,426.4,5,2.7,48.0,2.2,2.5,12.3,0.26189999999999997,0.0017,0.0414,0.3857,0.7765,"2 cups vegetable broth #1 cup Basmati rice #½ small onion, chopped #1 (14.75 ounce) can salmon, drained and flaked #½ cup frozen mixed vegetables, thawed #1 teaspoon lemon pepper #1 teaspoon salt-free garlic and herb seasoning blend #1 tablespoon olive oil #¼ cup dry bread crumbs for topping #1 pinch paprika ",2.4,0.045399999999999996
11,Lemon Mint Sauce with Shrimp,24511,Delicious shrimp in a wonderful lemon sauce. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8088687.jpg,6,396.1,5,3.6,57.5,3.1,3.3,9.2,0.046,0.004200000000000001,0.0577,0.29869999999999997,0.4225,"1 red bell pepper, julienned #¾ pound large cooked shrimp, peeled and deveined #½ cup chopped fresh mint leaves #¼ cup fresh lemon juice #2 teaspoons grated lemon zest #3 tablespoons olive oil #¾ teaspoon salt #¼ teaspoon ground black pepper #1 pound dry fettuccini pasta ",1.5,0.1107
12,One Pot Tuna Casserole,24512,"This is so easy and fast, like tuna casserole without baking it! Top with French-fried onions, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7127550.jpg,8,395.4,224,4.1,43.2,3.2,3.5,17.0,0.1659,0.0034,0.0499,0.1971,0.4516,"1 (16 ounce) package egg noodles #1 (10 ounce) package frozen green peas, thawed #¼ cup butter #1 (10.75 ounce) can condensed cream of mushroom soup #1 (5 ounce) can tuna, drained #¼ cup milk #1 cup shredded Cheddar cheese ",8.5,0.0793
13,Shrimp Etoufee III,24513,I go by feel more that cups and teaspoons - this is one my mother had fed us when we were little - and we loved it! I cook it now and my kids love it! Try this and see! This takes time but it's good! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5125848.jpg,10,368.7,69,4.6,9.4,1.7,3.5,20.7,0.1328,0.0035,0.013,0.605,0.8762000000000001,"4 pounds fresh shrimp, peeled and deveined #1 teaspoon salt #1 teaspoon ground black pepper #1 teaspoon crushed red pepper flakes #1 cup margarine, divided #2 cups minced onion #3 cups sliced celery #3 cups diced green bell pepper #2 tablespoons cornstarch #3 ½ cups water ",3.2,0.287
14,Tartar Sauce IV,24514,The very best I have ever tried! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2Fa965f2e32a0c3ef15667788b6f4b567b%2F94850.jpg,40,160.9,134,4.6,1.4,0.1,0.5,17.5,0.0029,0.0001,0.0012,0.016,0.1748,1 quart mayonnaise #¼ cup lemon juice #1 cup diced onion #1 cup finely chopped dill pickle ,2.6,0.008400000000000001
15,Tuna Buns,24515,A very easy and fast recipe that goes great with soup or as a meal of it's own. It tastes so good the whole family will love it. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2802245.jpg,4,414.7,17,4.5,31.1,1.1,9.4,21.8,0.2296,0.003,0.033100000000000004,0.2826,1.0393,"3 eggs #¼ pound processed cheese food, diced #2 tablespoons sweet pickle relish #1 (5 ounce) can tuna, drained #2 tablespoons minced onion #½ cup creamy salad dressing, e.g. Miracle Whip ™ #3 tablespoons chopped stuffed green olives #4 hamburger buns ",7.2,0.1771
16,Tuna Buns in Tinfoil,24516,"This dish is great for those nights you are looking for something easy to cook. Tuna, green olives, sweet pickles, and green pepper combined with American cheese and mayonnaise then baked in buttered hamburger buns. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3284217.jpg,8,373.2,7,4.1,22.7,1.0,3.4,25.3,0.15480000000000002,0.0021000000000000003,0.0207,0.1398,0.6343,"3 eggs #¼ pound processed American cheese, cubed #½ cup mayonnaise #1 (5 ounce) can tuna, drained and flaked #2 tablespoons chopped green bell pepper #2 tablespoons chopped onion #2 teaspoons chopped sweet pickles #2 tablespoons chopped stuffed green olives #4 tablespoons butter #8 hamburger buns ",9.2,0.1083
17,Honey Cornbread,24517,A sweet cornbread that will crumble in your hand and melt in your mouth. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9105168.jpg,8,358.3,596,4.3,41.8,1.1,15.4,19.5,0.0993,0.0019,0.0136,0.0879,0.1566,"1 cup all-purpose flour #1 cup yellow cornmeal #¼ cup white sugar #1 tablespoon baking powder #1 cup heavy cream #¼ cup vegetable oil #¼ cup honey #2 eggs, lightly beaten ",8.4,0.0873
18,Savory Cinnamon Rolls,24518,My husband was the inspiration for this recipe. These rolls are extremely tasty and are not heavy. The secret to this recipe lies in the frosting. As they say the easiest way to a man's heart is through his stomach! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F48185.jpg,24,285.8,95,4.5,50.4,1.0,26.3,7.9,0.0237,0.0015,0.0078,0.053399999999999996,0.2127,"2 (.25 ounce) packages active dry yeast #2 ½ cups warm water (110 degrees F/45 degrees C) #1 (9 ounce) package yellow cake mix #1 teaspoon salt #1 teaspoon vanilla extract #5 cups all-purpose flour #½ cup butter, softened #¾ cup white sugar #2 teaspoons ground cinnamon #3 cups confectioners' sugar #⅓ cup butter, softened #1 ½ teaspoons vanilla extract #1 ½ tablespoons milk ",4.3,0.0172
19,Brown Sugar Banana Nut Bread II,24519,"A delicious sweet cakey bread. Note: Most bread machines have a fruit and nut cycle. This should be set at Fruit and Nut Cycle and wait for the beep before adding your bananas and nuts. If you do not do this, the bread comes out tasteless. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F865263.jpg,12,167,30,3.6,24.3,1.3,9.9,6.4,0.027899999999999998,0.0012,0.018699999999999998,0.1413,0.32989999999999997,"½ cup milk #2 tablespoons butter, softened #2 eggs #¼ cup white sugar #¼ cup brown sugar #1 ½ cups all-purpose flour #1 teaspoon salt #1 teaspoon baking soda #1 (.25 ounce) package active dry yeast #2 small ripe bananas, sliced #½ cup chopped walnuts ",1.9,0.036899999999999995
20,Quick and Easy Tater Tot Casserole,24520,"This is a quick and easy casserole the whole family will love, especially those picky eaters! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3107518.jpg,6,509,158,4.3,46.9,3.9,4.8,29.7,0.0876,0.0021000000000000003,0.0228,0.7336,1.3849,"1 pound ground beef #1 pinch garlic powder # salt and pepper to taste #1 (32 ounce) package tater tots, thawed #1 (10.75 ounce) can condensed cream of mushroom soup #1 (10.75 ounce) can condensed cream of celery soup #1 (10.75 ounce) can milk #1 pinch garlic powder ",8.2,0.062299999999999994
21,Spinach Muenster Quiche,24521,This cheese crusted quiche is great with a salad and crusty bread! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1656689.jpg,8,310.6,101,4.6,4.5,2.1,1.1,25.4,0.4717,0.0021000000000000003,0.0695,0.3579,0.48360000000000003,"8 ounces Muenster cheese, sliced #2 (10 ounce) packages frozen chopped spinach, thawed and drained #2 eggs #⅓ cup grated Parmesan cheese #1 (8 ounce) package cream cheese, softened # salt and pepper to taste # garlic powder to taste #4 ounces Muenster cheese, sliced ",15.4,0.12179999999999999
22,Breakfast Sausage Roll,24522,"Stuffed bread filled with pork sausage, green peppers, mushrooms, and mozzarella cheese. You may make a dinner or lunch version by substituting Italian sausage, peppers, onions, pizza sauce, and cheese for the above ingredients. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F360645.jpg,12,596.5,30,4.5,38.8,3.4,3.8,38.1,0.1653,0.0037,0.016,0.2052,1.1267,"2 (1 pound) loaves frozen white bread dough #1 tablespoon vegetable oil #1 pound ground pork sausage #1 pound ground spicy pork sausage #½ large green bell pepper, chopped #1 (6 ounce) can canned mushrooms #2 cups shredded mozzarella cheese #1 egg #2 tablespoons water ",13.2,0.079
23,Homemade Honey Butter,24523,Honey butter is very good on homemade white bread. I ate and made this many times as a girl. You may also use peanut butter instead of butter. Delicious! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9426364.jpg,8,166.1,82,4.8,17.5,0.0,17.4,11.5,0.0047,0.0001,0.0007,0.0144,0.08259999999999999,"½ cup butter, softened #½ cup honey ",7.3,0.0305
24,Stuffed French Toast I,24524,"Serve warm with a dollop of orange marmalade on the top and a good cup of coffee. Even though orange marmalade isn't a particularly popular preserve in my area of the country, it really makes this special. You can replace the liqueur with any flavored liquid non-dairy coffee creamer. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F622872.jpg,5,614.2,39,4.5,72.1,2.4,20.8,25.9,0.1075,0.0046,0.033600000000000005,0.2332,0.8166,1 (1 pound) loaf French bread #1 (8 ounce) package cream cheese #4 eggs #¼ cup Irish cream liqueur #1 teaspoon vanilla extract #¼ teaspoon ground cinnamon #¼ teaspoon ground nutmeg #2 tablespoons butter #⅓ cup orange marmalade ,14.5,0.21030000000000001
25,Shari's Streusel Coffee Cake,24525,"Delicious with coffee, or as a nice compliment to any brunch casserole. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F69986.jpg,12,245.8,28,3.5,33.0,1.0,18.6,11.5,0.06520000000000001,0.0012,0.0144,0.0745,0.1884,"¾ cup white sugar #¼ cup shortening #2 eggs #½ cup half-and-half cream #1 ½ cups all-purpose flour #2 teaspoons baking powder #½ teaspoon salt #½ cup brown sugar #2 tablespoons all-purpose flour #2 teaspoons ground cinnamon #½ cup chopped walnuts #2 tablespoons butter, melted ",3.6,0.039799999999999995
26,Sunrise Pizza,24526,A great morning treat on Saturday after sleeping in! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F614218.jpg,6,518.6,10,4.3,36.8,1.7,3.0,29.2,0.32789999999999997,0.0013,0.020399999999999998,0.2109,0.9763999999999999,"8 ounces ground pork sausage #5 eggs, lightly beaten #1 (12 inch) prepared pizza crust #1 cup ricotta cheese #¼ cup chopped red onion #¼ cup chopped fresh tomato #¼ cup chopped red bell pepper #¼ cup chopped green bell pepper #8 ounces shredded mozzarella cheese ",11.9,0.2112
27,Sunshine Toast,24527,"This is a quick easy recipe, for lovers of fried eggs on toast. It's a clever twist on usual fried eggs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4526655.jpg,1,341.6,278,4.7,13.1,0.6,1.5,28.8,0.0711,0.0019,0.0123,0.0988,0.4038,"2 tablespoons butter, divided #1 slice bread #1 egg # salt to taste ",16.3,0.2471
28,Tennessee Eggs,24528,An eggsellent way to use leftover hard boiled eggs. You may also use cheese cracker crumbs and grated cheese for the topping if you wish. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F660075.jpg,5,461.6,15,4.3,8.2,0.3,0.9,43.8,0.1045,0.0015,0.0166,0.16469999999999999,0.1761,"6 eggs #1 tablespoon butter #1 tablespoon all-purpose flour #2 cups heavy cream # salt and pepper to taste # ground cayenne pepper to taste #¼ cup dry bread crumbs, divided ",25.3,0.35969999999999996
29,Turkey Sausage Breakfast,24529,"My mom substituted turkey sausage, egg beaters and low fat cheddar to reduce the fat. We have this dish every Christmas morning with croissants. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7892456.jpg,6,408,88,4.3,15.5,1.4,1.6,30.1,0.2709,0.0029,0.032100000000000004,0.6726,0.765,"1 pound ground turkey sausage #4 large eggs eggs, lightly beaten #4 medium (4-1/8"" long)s green onions, finely chopped #1 (16 ounce) package frozen hash brown potatoes #½ cup milk #1 ½ cups shredded Cheddar cheese ",13.3,0.2166
30,Buttermilk Pancakes,24530,"A very light and fluffy pancake recipe that requires fresh buttermilk, but it's the best I've ever made! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F83b11c5a962c947e3f3a593f9bed61f7%2F1649604050Buttermilk%20pancakes.jpg,12,219,2957,4.5,30.7,0.8,6.7,7.4,0.1457,0.0018,0.0166,0.15969999999999998,0.5155,"3 cups all-purpose flour #3 tablespoons white sugar #3 teaspoons baking powder #1 ½ teaspoons baking soda #¾ teaspoon salt #3 cups buttermilk #½ cup milk #3 eggs #⅓ cup butter, melted ",4.1,0.0633
31,Easy Mini Quiche,24531,I made these for a tea last month for a Waco federation woman club. Garnish with green olives or pimiento. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F129747.jpg,12,123,110,3.9,15.0,0.8,2.7,4.2,0.10890000000000001,0.0013,0.0129,0.09759999999999999,0.2325,"12 slices bread #1 onion, grated #½ cup shredded Swiss cheese #1 cup milk #4 eggs #1 teaspoon dry mustard #1 pinch black pepper ",1.8,0.0678
32,Sausage Casserole,24532,"Mouth watering, bowl scraping good! This recipe also makes a great dinner entree! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F5504332636d116e1774d73ed26b69845%2F164537356920220220_111203.jpg,12,355.5,905,4.8,7.9,0.5,1.3,26.3,0.2562,0.0013,0.0252,0.30710000000000004,0.7547,"1 pound sage flavored breakfast sausage #3 cups shredded potatoes, drained and pressed #¼ cup butter, melted #12 ounces mild Cheddar cheese, shredded #½ cup onion, shredded #1 (16 ounce) container small curd cottage cheese #6 jumbo eggs ",13.3,0.1881
33,Chocolate Chip Muffins with Applesauce,24533,These tasty muffins are easy to make and contain no butter or oil. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8017206.jpg,8,152.4,25,3.4,23.4,1.3,9.5,5.3,0.0386,0.0011,0.0209,0.11040000000000001,0.32639999999999997,1 cup all-purpose flour #1 ½ teaspoons baking soda #¼ teaspoon salt #½ teaspoon ground cinnamon #¼ cup brown sugar #⅓ cup applesauce #1 egg white #½ teaspoon vanilla extract #⅔ cup milk #1 tablespoon all-purpose flour #¼ cup semisweet chocolate chips #⅓ cup chopped walnuts ,1.5,0.0016
34,Cookson Stew,24534,Six bean stew with pork sausage and BBQ sauce. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4573006.jpg,20,283.8,9,3.8,38.4,8.1,14.6,10.1,0.0745,0.0033,0.0438,0.5347999999999999,0.9688,1 pound ground pork sausage #1 (16 ounce) can pinto beans #1 (4 ounce) can sliced jalapeno peppers #1 (15 ounce) can kidney beans #1 (14.5 ounce) can yellow wax beans #1 (16 ounce) can baked beans with pork #1 (18 ounce) bottle barbeque sauce #1 (28 ounce) can peeled and diced tomatoes #1 (6 ounce) can tomato paste #½ cup brown sugar ,3.5,0.017
35,Hot Ham and Cheese Sandwiches,24535,Don't settle for ordinary ham and cheese sandwiches when you can make something deliciously different. The horseradish mustard dressing perfectly compliments the ham. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F818108.jpg,8,359.8,81,4.6,23.8,1.3,3.4,21.7,0.301,0.0018,0.0263,0.1673,0.7149,"¼ cup butter, softened #2 tablespoons prepared horseradish mustard #2 tablespoons chopped onions #1 teaspoon poppy seeds #1 teaspoon dill seed #8 slices Swiss cheese #8 slices cooked ham #8 hamburger buns ",11.1,0.0576
36,Sausage and Corn Casserole,24536,Simple to prepare and simply delicious to eat! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F15827.jpg,6,557.1,11,3.5,36.0,2.1,4.7,38.6,0.07709999999999999,0.0031,0.0345,0.35,1.0267,"1 pound ground pork sausage #4 eggs, beaten #1 (15 ounce) can cream-style corn #1 cup soft bread crumbs #¼ teaspoon ground black pepper #⅓ cup cracker crumbs #2 tablespoons chopped fresh parsley ",12.9,0.1755
37,Easy Pork and Sauerkraut,24537,This is a recipe that is similar to my Pennsylvania Dutch grandmother's but was modified by me. She used a pressure cooker but I prefer the crock pot. I always serve this with a side of mashed potatoes and applesauce to accompany it. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8145750.jpg,5,139.1,37,3.8,11.7,5.2,4.4,4.0,0.0649,0.003,0.037200000000000004,0.4783,1.5673,"1 pound pork roast, cut into 1 inch cubes #1 (32 ounce) jar sauerkraut with juice #½ (12 fluid ounce) can or bottle beer #½ apple, peeled and cored #1 tablespoon minced garlic #½ tablespoon fresh dill weed #1 teaspoon onion salt #1 teaspoon dry mustard ",1.2,0.0317
38,Slow Cooker Spare Ribs,24538,"Slow cooked pork spare ribs, or country style ribs, also great with boneless, skinless chicken breasts. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F410372.jpg,4,482.8,262,4.2,18.8,0.8,10.5,31.2,0.07440000000000001,0.0034,0.0364,0.5876,1.0747,"1 (10.75 ounce) can condensed tomato soup #1 onion, chopped #3 cloves garlic, minced #1 tablespoon brown sugar #1 tablespoon Worcestershire sauce #2 tablespoons soy sauce #2 pounds pork spareribs #1 teaspoon cornstarch (Optional)#¼ cup cold water (Optional)",11.2,0.1198
39,Cantonese Barbecued Pork,24539,"This tastes like the pork served in my favorite Chinese restaurant. Serve at room temperature arranged in overlapping layers on a platter. Garnish with cucumber slices, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F164920.jpg,6,158,24,4.8,10.2,0.3,7.7,6.9,0.0169,0.0011,0.0143,0.21409999999999998,0.45139999999999997,2 tablespoons dry sherry #2 slices fresh ginger root #1 tablespoon oyster sauce #½ teaspoon Chinese five-spice powder #4 ½ teaspoons soy sauce #1 tablespoon white sugar #2 tablespoons hoisin sauce #2 tablespoons ketchup #½ teaspoon ground cinnamon #1 ½ pounds pork shoulder roast #1 tablespoon honey ,2.4,0.044700000000000004
40,Crab Salad III,24540,"This creamy and colorful salad is inexpensive and flavorful. Seashell macaroni and crab meat are dotted with a delicious blend of herbs, green pepper, olives, radishes, tomato and celery. If you don't have celery on hand, just substitute some celery seed instead for flavor! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F284152.jpg,8,286.9,149,4.6,25.7,2.0,5.0,18.1,0.0325,0.0013,0.0343,0.1875,0.558,"1 ½ cups seashell pasta #1 (12 ounce) package imitation crabmeat #1 small green bell pepper, diced #1 sweet onion, diced #½ cup diced black olives #5 radishes, diced #1 tomato, seeded and diced #½ cup diagonally sliced celery #¾ cup mayonnaise #1 tablespoon white vinegar #1 teaspoon lemon juice #½ packet artificial sweetener #½ teaspoon garlic powder #½ teaspoon dried dill weed #½ teaspoon dried basil #½ teaspoon dried oregano ",2.8,0.0162
41,German-Style Beet Salad,24541,"Fresh beets are boiled until tender, and then tossed with a sweet and spicy caraway and clove vinaigrette. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1613615.jpg,6,167.1,23,4.1,14.6,3.4,10.7,11.9,0.0375,0.0014,0.0351,0.4144,0.292,2 bunches beets #2 tablespoons water #¼ cup white vinegar #2 tablespoons caraway seeds #1 teaspoon white sugar #2 tablespoons minced onion #1 teaspoon prepared horseradish #¼ teaspoon ground cloves #½ teaspoon salt #¼ teaspoon ground black pepper #5 tablespoons vegetable oil ,1.8,0.0
